구단,투수,포수,내야수,외야수
롯데,"김진욱
한현희
최준용
박세웅
구승민
김상수
반즈
신정락
최이준
김원중
윤명준
나균안
스트레일리","유강남
정보근","안치홍
한동희
김민수
노진혁
박승욱
이학주
전준우
정훈","안권수
렉스
김민석
고승민
윤동희"
SSG,"고효준
서진용
김광현
맥카티
노경은
박민호
문승원
오원석
임준섭
신헌민
박종훈
백승건
최민준","김민식
조형우","최정
박성한
김건웅
최주환
전의산
최경모
김성현","추신수
에레디아
한유섬
오태곤
김정민
최상민"
LG,"임찬규
함덕주
정우영
진해수
켈리
이정용
배재준
박명근
김진성
플럿코
김윤식
이지강
유영찬
최성훈","김기연
박동원","오지환
서건창
김민성
문보경
송찬의
정주현","박해민
김현수
오스틴
신민재
홍창기
문성주"
두산,"박치국
홍건희
이병헌
김동주
최지강
알칸타라
김명신
곽빈
최원준
김유성
고봉재
최승용
정철원","장승현
양의지","허경민
강승호
전민재
김재호
양석환
이유찬","로하스
정수빈
김재환
강진성
조수행
양찬열
송승환"
NC,"송명기
페디
김태현
김영규
김시훈
임정호
하준영
이용준
신민혁
김진호
구창모
조민석
이준호","박세혁
안중열","도태훈
박민우
오영수
서호철
오태양
윤형준
김한별
김주원","천재환
김성욱
손아섭
박건우
한석현"
KIA,"윤영철
임기영
이준영
최지민
메디나
이의리
장현식
전상현
김기훈
양현종
정해영
앤더슨
김대유","주효상
한승택","박찬호
김규성
김선빈
변우혁
황대인
홍종표
류지혁","이우성
김호령
소크라테스
최형우
고종욱
이창진"
삼성,"김대우
원태인
우규민
이승현
오승환
김태훈
백정현
뷰캐넌
문용익
최충연
이승현
수아레즈
이상민","이병헌
김태군
강민호","김재상
이성규
김영웅
조민성
오재일
김지찬
이재현
공민규","윤정빈
김성윤
구자욱
피렐라"
키움,"최원태
김재웅
김성진
양현
안우진
요키시
임창민
하영민
정찬헌
김동혁
후라도
김준형
윤정현","김동헌
이지영","전병우
이원석
김태진
러셀
김혜성
김휘집","김준완
이용규
임병욱
이형종
박찬혁
이정후
이병규"
KT,"고영표
김민
엄상백
슐서
손동현
벤자민
박세진
김영현
조이현
박영현
김재윤
이선우","장성우
김준태","문상준
황재균
오윤석
강민성
강백호
박경수
김상수","이시원
조용호
문상철
알포드
홍현빈
김민혁"
한화,"문동주
남지민
김기중
페냐
장민재
이태양
김범수
윤대경
김민우
김서현
강재민
정우람
박상원
한승주","최재훈
박상언","김태연
정은원
이성곤
오선진
문현빈
노시환","노수광
채은성
유로결
이진영
이원석
장진혁"
